Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers,Train Loss,Test Loss
100,2,0.75,40000000,39998799,7236,"7236,5427",0.09387872368097305,0.16797584295272827,893
200,2,0.75,100000000,99995200,11414,"11414,8560",0.09780365973711014,0.189498633146286,54
300,2,0.75,200000000,200004236,16131,"16131,12098",0.08194120228290558,0.1844744235277176,607
