Input dim,Multiplier,Hidden dim,Lr,Layers,Epochs,Loss
10,3,32,0.001,6,821,0.041743338108062744
10,3,32,0.001,7,829,0.04979563504457474
15,2,32,0.001,1,1594,0.046459440141916275
15,2,32,0.001,2,1272,0.04620533064007759
15,2,32,0.001,3,1007,0.04522132873535156
15,2,32,0.001,4,852,0.046692248433828354
15,2,32,0.001,5,995,0.03508305549621582
15,2,32,0.001,6,1319,0.04863725230097771
15,2,32,0.001,7,1219,0.04989238828420639
20,1,32,0.001,1,2333,0.048181772232055664
20,1,32,0.001,2,1342,0.04803094640374184
20,1,32,0.001,3,1305,0.04875713959336281
20,1,32,0.001,4,1337,0.04770093038678169
20,1,32,0.001,5,1368,0.04859873652458191
20,1,32,0.001,6,1321,0.044428709894418716
20,1,32,0.001,7,1904,0.04260293394327164
25,1,32,0.001,1,2589,0.0479036346077919
25,1,32,0.001,2,1659,0.04530565068125725
25,1,32,0.001,3,1600,0.04619140177965164
25,1,32,0.001,4,1326,0.04917984455823898
25,1,32,0.001,5,1450,0.04099305346608162
25,1,32,0.001,6,1589,0.045529577881097794
25,1,32,0.001,7,1730,0.04872670769691467
30,1,32,0.001,1,2147,0.048807282000780106
30,1,32,0.001,2,1627,0.04985250532627106
30,1,32,0.001,3,2067,0.04998376965522766
30,1,32,0.001,4,1956,0.04769372567534447
30,1,32,0.001,5,1734,0.044915009289979935
30,1,32,0.001,6,2285,0.04949018731713295
30,1,32,0.001,7,2025,0.04937036707997322
40,0,32,0.001,1,3429,0.04720752686262131
40,0,32,0.001,2,2465,0.04997054487466812
40,0,32,0.001,3,1775,0.04942573234438896
40,0,32,0.001,4,2639,0.04458063095808029
40,0,32,0.001,5,1900,0.04876556620001793
40,0,32,0.001,6,1823,0.04443104565143585
40,0,32,0.001,7,2974,0.04849507287144661
50,0,32,0.001,1,4495,0.04323923960328102
50,0,32,0.001,2,2328,0.04883160442113876
50,0,32,0.001,3,2624,0.043814517557621
50,0,32,0.001,4,5023,0.042626503854990005
50,0,32,0.001,5,2695,0.049266915768384933
50,0,32,0.001,6,20000,1.0131967067718506
50,0,32,0.001,7,3484,0.0479772612452507
60,0,32,0.001,1,5635,0.04804330691695213
60,0,32,0.001,2,2382,0.04901031404733658
60,0,32,0.001,3,3769,0.046499691903591156
60,0,32,0.001,4,2846,0.048054106533527374
60,0,32,0.001,5,2707,0.047194771468639374
60,0,32,0.001,6,5059,0.04522079974412918
60,0,32,0.001,7,3768,0.04340904951095581
75,0,32,0.001,1,6312,0.0480872243642807
75,0,32,0.001,2,6146,0.04860755801200867
75,0,32,0.001,3,5376,0.04685097932815552
75,0,32,0.001,4,5836,0.04654013365507126
75,0,32,0.001,5,3559,0.04953141510486603
75,0,32,0.001,6,20000,1.0229359865188599
75,0,32,0.001,7,20000,1.635981798171997
100,0,32,0.001,1,10761,0.044942356646060944
100,0,32,0.001,2,7984,0.047363266348838806
100,0,32,0.001,3,6143,0.049702346324920654
100,0,32,0.001,4,20000,1.4376599788665771
100,0,32,0.001,5,6515,0.03871934860944748
100,0,32,0.001,6,20000,1.2886953353881836
100,0,32,0.001,7,20000,1.227400302886963
125,0,32,0.001,1,8470,0.04425187408924103
125,0,32,0.001,2,8467,0.04823555052280426
125,0,32,0.001,3,6976,0.04862907528877258
125,0,32,0.001,4,20000,1.2917773723602295
125,0,32,0.001,5,5769,0.049239009618759155
125,0,32,0.001,6,20000,1.0777661800384521
125,0,32,0.001,7,20000,1.248641848564148
150,0,32,0.001,1,12242,0.04870714247226715
150,0,32,0.001,2,6082,0.0404701828956604
150,0,32,0.001,3,15144,0.04956898093223572
150,0,32,0.001,4,20000,1.6461988687515259
150,0,32,0.001,5,20000,1.2844972610473633
150,0,32,0.001,6,8752,0.047038570046424866
150,0,32,0.001,7,20000,1.9023998975753784
