Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time(s)
100,64,500,2,3,0.01,10000,1.0,0.009141938760876656,0.0035655219107866287,0.009141938760876656,0.0035655219107866287,5610,125
100,64,500,2,3,0.01,30000,3.0,0.009588930755853653,0.014391210861504078,0.009588930755853653,0.014391210861504078,6757,320
100,64,500,2,3,0.01,50000,5.0,0.009770136326551437,0.013884556479752064,0.009770136326551437,0.013884556479752064,4455,336
100,64,500,2,3,0.01,70000,7.0,0.009882243350148201,0.023965317755937576,0.009882243350148201,0.023965317755937576,4809,483
100,64,500,2,3,0.01,90000,9.0,0.008863559924066067,0.019743653014302254,0.008863559924066067,0.019743653014302254,8525,1043
100,64,500,2,3,0.01,110000,11.0,0.008881478570401669,0.04347824677824974,0.008881478570401669,0.04347824677824974,5841,861
100,64,500,2,3,0.01,130000,13.0,0.007186950650066137,0.009281727485358715,0.007186950650066137,0.009281727485358715,5169,818
100,64,500,2,3,0.01,150000,15.0,0.009839128702878952,0.020942285656929016,0.009839128702878952,0.020942285656929016,4408,826
100,64,500,2,3,0.01,170000,17.0,0.009197648614645004,0.04048237204551697,0.009197648614645004,0.04048237204551697,7204,1554
100,64,500,2,3,0.01,190000,19.0,0.009913490153849125,0.013848509639501572,0.009913490153849125,0.013848509639501572,4875,1157
100,64,500,2,3,0.01,10000,1.0,0.009822884574532509,0.014067417941987514,0.009822884574532509,0.014067417941987514,6505,147
100,64,500,2,3,0.01,30000,3.0,0.009615758433938026,0.031016003340482712,0.009615758433938026,0.031016003340482712,2779,133
100,64,500,2,3,0.01,50000,5.0,0.00850672461092472,0.008200270123779774,0.00850672461092472,0.008200270123779774,3608,262
100,64,500,2,3,0.01,70000,7.0,0.007924875244498253,0.009595266543328762,0.007924875244498253,0.009595266543328762,4728,439
100,64,500,2,3,0.01,90000,9.0,0.006052669603377581,0.021710019558668137,0.006052669603377581,0.021710019558668137,8508,1010
100,64,500,2,3,0.01,110000,11.0,0.009811829775571823,0.05071353539824486,0.009811829775571823,0.05071353539824486,6676,938
100,64,500,2,3,0.01,130000,13.0,0.009271984919905663,0.012047947384417057,0.009271984919905663,0.012047947384417057,8745,1402
100,64,500,2,3,0.01,150000,15.0,0.00870988517999649,0.014765363186597824,0.00870988517999649,0.014765363186597824,3843,725
100,64,500,2,3,0.01,170000,17.0,0.00976784247905016,0.022042183205485344,0.00976784247905016,0.022042183205485344,4549,998
100,64,500,2,3,0.01,190000,19.0,0.00897227693349123,0.0634971335530281,0.00897227693349123,0.0634971335530281,6136,1474
100,64,500,2,3,0.01,10000,1.0,0.006271211430430412,0.02166091650724411,0.006271211430430412,0.02166091650724411,5978,124
100,64,500,2,3,0.01,30000,3.0,0.006192252039909363,0.02859853208065033,0.006192252039909363,0.02859853208065033,4517,221
100,64,500,2,3,0.01,50000,5.0,0.008403219282627106,0.018949296325445175,0.008403219282627106,0.018949296325445175,9005,665
100,64,500,2,3,0.01,70000,7.0,0.009947310201823711,0.017850028350949287,0.009947310201823711,0.017850028350949287,5133,479
100,64,500,2,3,0.01,90000,9.0,0.008588439784944057,0.014882106333971024,0.008588439784944057,0.014882106333971024,5475,648
100,64,500,2,3,0.01,110000,11.0,0.008730223402380943,0.023290516808629036,0.008730223402380943,0.023290516808629036,5438,762
100,64,500,2,3,0.01,130000,13.0,0.00965808890759945,0.022085530683398247,0.00965808890759945,0.022085530683398247,3686,587
100,64,500,2,3,0.01,150000,15.0,0.008774833753705025,0.01155008189380169,0.008774833753705025,0.01155008189380169,5869,1102
100,64,500,2,3,0.01,170000,17.0,0.00653846375644207,0.008476711809635162,0.00653846375644207,0.008476711809635162,5063,1105
100,64,500,2,3,0.01,190000,19.0,0.0069435955956578255,0.1082083061337471,0.0069435955956578255,0.1082083061337471,5859,1405
200,64,500,2,3,0.01,10000,1.0,0.0072819143533706665,0.013764739036560059,0.0072819143533706665,0.013764739036560059,15074,338
200,64,500,2,3,0.01,30000,3.0,0.009860636666417122,0.021851353347301483,0.009860636666417122,0.021851353347301483,5307,270
200,64,500,2,3,0.01,50000,5.0,0.009998830035328865,0.015469040721654892,0.009998830035328865,0.015469040721654892,5930,514
200,64,500,2,3,0.01,70000,7.0,0.009107574820518494,0.026306118816137314,0.009107574820518494,0.026306118816137314,7493,814
200,64,500,2,3,0.01,90000,9.0,0.009331916458904743,0.03686242923140526,0.009331916458904743,0.03686242923140526,12600,1675
200,64,500,2,3,0.01,110000,11.0,0.00973279494792223,0.012612126767635345,0.00973279494792223,0.012612126767635345,9341,1428
