Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs
100,64,500,2,3,0.01,10000,1.0,0.009375864639878273,0.011483414098620415,0.09375864639878273,0.11483414471149445,34372
100,64,500,2,3,0.01,30000,3.0,0.009142426773905754,0.016743602231144905,0.09142426773905754,0.16743601858615875,22085
100,64,500,2,3,0.01,50000,5.0,0.009561095386743546,0.014362911693751812,0.09561095386743546,0.14362911880016327,14987
100,64,500,2,3,0.01,70000,7.0,0.008959528058767319,0.01895708218216896,0.08959528058767319,0.189570814371109,22899
100,64,500,2,3,0.01,90000,9.0,0.009860344231128693,0.010744989849627018,0.09860344231128693,0.10744989663362503,6189
100,64,500,2,3,0.01,110000,11.0,0.009303521364927292,0.011653979308903217,0.09303521364927292,0.11653979122638702,5997
100,64,500,2,3,0.01,130000,13.0,0.009627819061279297,0.012708918191492558,0.09627819061279297,0.12708918750286102,25758
100,64,500,2,3,0.01,150000,15.0,0.009665971621870995,0.021938107907772064,0.09665971621870995,0.21938107907772064,18202
100,64,500,2,3,0.01,170000,17.0,0.009880498051643372,0.011145016178488731,0.09880498051643372,0.11145016551017761,24621
100,64,500,2,3,0.01,190000,19.0,0.009929239749908447,0.016922375187277794,0.09929239749908447,0.16922375559806824,31105
