n,num_bits,num_samples,learning_rate,hidden_dim,layers_num,num_samples_test,batch_size,epochs,test_loss
15,4,500,0.001,32,4,1000,32,100,0.13149765133857727
15,4,500,0.001,32,4,1000,64,100,0.12479215115308762
15,4,500,0.001,64,2,1000,32,100,0.11521916836500168
15,4,500,0.001,64,2,1000,64,100,0.10857077687978745
15,4,500,0.001,64,3,1000,32,100,0.12222263216972351
15,4,500,0.001,64,3,1000,64,100,0.12007588893175125
15,4,500,0.001,64,4,1000,32,100,0.12815311551094055
15,4,500,0.001,64,4,1000,64,100,0.12598125636577606
15,4,500,0.005,8,2,1000,32,100,0.12416508793830872
15,4,500,0.005,8,2,1000,64,100,0.10989823192358017
15,4,500,0.005,8,3,1000,32,100,0.10873936861753464
15,4,500,0.005,8,3,1000,64,100,0.11991211026906967
15,4,500,0.005,8,4,1000,32,100,0.11266627907752991
15,4,500,0.005,8,4,1000,64,100,0.12215138226747513
15,4,500,0.005,16,2,1000,32,100,0.13205251097679138
15,4,500,0.005,16,2,1000,64,100,0.12625519931316376
15,4,500,0.005,16,3,1000,32,100,0.12707974016666412
15,4,500,0.005,16,3,1000,64,100,0.12570646405220032
15,4,500,0.005,16,4,1000,32,100,0.1289229691028595
15,4,500,0.005,16,4,1000,64,100,0.135758638381958
15,4,500,0.005,32,2,1000,32,100,0.12407774478197098
15,4,500,0.005,32,2,1000,64,100,0.12386368960142136
15,4,500,0.005,32,3,1000,32,100,0.12680652737617493
15,4,500,0.005,32,3,1000,64,100,0.1321997195482254
15,4,500,0.005,32,4,1000,32,100,0.12388710677623749
15,4,500,0.005,32,4,1000,64,100,0.13216014206409454
15,4,500,0.005,64,2,1000,32,100,0.11465831845998764
15,4,500,0.005,64,2,1000,64,100,0.11833063513040543
15,4,500,0.005,64,3,1000,32,100,0.12458381056785583
15,4,500,0.005,64,3,1000,64,100,0.12527641654014587
15,4,500,0.005,64,4,1000,32,100,0.14116224646568298
15,4,500,0.005,64,4,1000,64,100,0.12698894739151
15,8,500,0.001,8,2,1000,32,100,0.10734815150499344
15,8,500,0.001,8,2,1000,64,100,0.10608728229999542
15,8,500,0.001,8,3,1000,32,100,0.10632555186748505
15,8,500,0.001,8,3,1000,64,100,0.10329128056764603
15,8,500,0.001,8,4,1000,32,100,0.1076660081744194
15,8,500,0.001,8,4,1000,64,100,0.10371250659227371
15,8,500,0.001,16,2,1000,32,100,0.11785967648029327
15,8,500,0.001,16,2,1000,64,100,0.10693536698818207
15,8,500,0.001,16,3,1000,32,100,0.11756383627653122
15,8,500,0.001,16,3,1000,64,100,0.11061648279428482
15,8,500,0.001,16,4,1000,32,100,0.12335462123155594
15,8,500,0.001,16,4,1000,64,100,0.11496276408433914
15,8,500,0.001,32,2,1000,32,100,0.1347181797027588
15,8,500,0.001,32,2,1000,64,100,0.11576935648918152
15,8,500,0.001,32,3,1000,32,100,0.14724549651145935
15,8,500,0.001,32,3,1000,64,100,0.1333785355091095
15,8,500,0.001,32,4,1000,32,100,0.15307389199733734
15,8,500,0.001,32,4,1000,64,100,0.1425909399986267
15,8,500,0.001,64,2,1000,32,100,0.15235856175422668
15,8,500,0.001,64,2,1000,64,100,0.14046180248260498
15,8,500,0.001,64,3,1000,32,100,0.16535739600658417
