Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers,Dataset size,Train Loss,Test Loss,Epochs
400,2,0.75,95000000,95003456,10991,"10991,8243",190000,0.008581303060054779,0.15706989169120789,28479
400,2,0.75,95000000,95003456,10991,"10991,8243",210000,0.009375179186463356,0.15096022188663483,29680
400,2,0.75,95000000,95003456,10991,"10991,8243",230000,0.00941761489957571,0.14742004871368408,35242
500,2,0.75,135000000,135002220,13087,"13087,9815",10000,0.00967164896428585,0.20637086033821106,2465
500,2,0.75,135000000,135002220,13087,"13087,9815",30000,0.009586879052221775,0.18780283629894257,6720
500,2,0.75,135000000,135002220,13087,"13087,9815",50000,0.009949034079909325,0.18816687166690826,9532
500,2,0.75,135000000,135002220,13087,"13087,9815",70000,0.008043120615184307,0.18048636615276337,12070
500,2,0.75,135000000,135002220,13087,"13087,9815",90000,0.009005100466310978,0.179224893450737,14587
500,2,0.75,135000000,135002220,13087,"13087,9815",110000,0.009918960742652416,0.17772313952445984,18397
500,2,0.75,135000000,135002220,13087,"13087,9815",130000,0.007670614868402481,0.17643006145954132,21947
500,2,0.75,135000000,135002220,13087,"13087,9815",190000,0.00932811014354229,0.1701904982328415,25941
500,2,0.75,135000000,135002220,13087,"13087,9815",270000,0.009607942774891853,0.16097986698150635,34201
500,2,0.75,135000000,135002220,13087,"13087,9815",350000,0.008155414834618568,0.14888139069080353,43215
