Input dimension,Number of Layers,Factor q,Meant Complexity,Actual Complexity,First Layer,Layers,Dataset size,Train Loss,Test Loss,Epochs
100,2,0.75,5000000,5001179,2516,"2516,1887",10000,0.009752608835697174,0.158894345164299,9303
100,3,0.75,5000000,4998675,2023,"2023,1517,1138",10000,0.009660153649747372,0.1577964723110199,8541
100,4,0.75,5000000,4999548,1848,"1848,1386,1040,780",10000,0.009938491508364677,0.17057828605175018,9140
100,5,0.75,5000000,5000381,1768,"1768,1326,995,746,559",10000,0.009116631001234055,0.15945927798748016,8895
100,6,0.75,5000000,5002635,1727,"1727,1296,972,729,547,410",10000,0.0093080410733819,0.16131433844566345,9085
100,7,0.75,5000000,5000539,1706,"1706,1279,959,720,540,405,304",10000,0.009195934981107712,0.15557287633419037,9721
100,8,0.75,5000000,5000451,1694,"1694,1270,953,715,536,402,301,226",10000,0.009755573235452175,0.17596374452114105,8161
100,9,0.75,5000000,4998430,1687,"1687,1265,949,712,534,400,300,225,169",10000,0.007847444154322147,0.14785459637641907,8582
100,10,0.75,5000000,5002298,1684,"1684,1263,947,710,533,400,300,225,169,126",10000,0.007996417582035065,0.1881883591413498,5471
200,2,0.75,15000000,14997955,4340,"4340,3255",10000,0.009148120880126953,0.1864181011915207,5749
200,3,0.75,15000000,15000525,3493,"3493,2620,1965",10000,0.008346565067768097,0.1993809938430786,5179
200,4,0.75,15000000,15000231,3192,"3192,2394,1796,1347",10000,0.00990841630846262,0.20741525292396545,5717
200,5,0.75,15000000,14996638,3054,"3054,2290,1718,1288,966",10000,0.008783870376646519,0.20427586138248444,6700
200,6,0.75,15000000,15000514,2984,"2984,2238,1678,1259,944,708",10000,0.008668707683682442,0.1960008293390274,7797
200,7,0.75,15000000,14998225,2946,"2946,2210,1657,1243,932,699,524",10000,0.007207982242107391,0.18646933138370514,8776
200,8,0.75,15000000,14998336,2926,"2926,2194,1646,1234,926,694,521,391",10000,0.009173298254609108,0.1866096556186676,8350
100,2,0.75,5000000,5001179,2516,"2516,1887",10000,0.009352640248835087,0.15775339305400848,9208
100,2,0.75,5000000,5001179,2516,"2516,1887",10000,0.009823890402913094,0.1636478304862976,9256
100,2,0.75,5000000,5001179,2516,"2516,1887",10000,0.009643533267080784,0.16099224984645844,9242
100,3,0.75,5000000,4998675,2023,"2023,1517,1138",10000,0.009068919345736504,0.15802793204784393,8601
100,3,0.75,5000000,4998675,2023,"2023,1517,1138",10000,0.009138191118836403,0.1721295416355133,8530
100,3,0.75,5000000,4998675,2023,"2023,1517,1138",10000,0.009760122746229172,0.16020576655864716,8628
100,4,0.75,5000000,4999548,1848,"1848,1386,1040,780",10000,0.009721132926642895,0.154078409075737,8715
100,4,0.75,5000000,4999548,1848,"1848,1386,1040,780",10000,0.008580503053963184,0.17565983533859253,8892
100,4,0.75,5000000,4999548,1848,"1848,1386,1040,780",10000,0.009604180231690407,0.1667480170726776,8274
100,5,0.75,5000000,5000381,1768,"1768,1326,995,746,559",10000,0.008684786036610603,0.16779378056526184,8799
100,5,0.75,5000000,5000381,1768,"1768,1326,995,746,559",10000,0.009487781673669815,0.16807039082050323,8439
100,5,0.75,5000000,5000381,1768,"1768,1326,995,746,559",10000,0.00844607688486576,0.1664685755968094,7719
100,6,0.75,5000000,5002635,1727,"1727,1296,972,729,547,410",10000,0.007363912649452686,0.1695190668106079,8479
100,6,0.75,5000000,5002635,1727,"1727,1296,972,729,547,410",10000,0.009973274543881416,0.17008985579013824,8784
100,6,0.75,5000000,5002635,1727,"1727,1296,972,729,547,410",10000,0.009234454482793808,0.15525683760643005,9471
100,7,0.75,5000000,5000539,1706,"1706,1279,959,720,540,405,304",10000,0.008819703944027424,0.16343571245670319,9774
100,7,0.75,5000000,5000539,1706,"1706,1279,959,720,540,405,304",10000,0.009892215952277184,0.17631779611110687,8491
100,7,0.75,5000000,5000539,1706,"1706,1279,959,720,540,405,304",10000,0.008856216445565224,0.17610618472099304,8781
100,8,0.75,5000000,5000451,1694,"1694,1270,953,715,536,402,301,226",10000,0.008419089950621128,0.17172321677207947,8869
100,8,0.75,5000000,5000451,1694,"1694,1270,953,715,536,402,301,226",10000,0.009705616161227226,0.16661500930786133,7947
100,8,0.75,5000000,5000451,1694,"1694,1270,953,715,536,402,301,226",10000,0.007728339172899723,0.17246635258197784,8513
100,9,0.75,5000000,4998430,1687,"1687,1265,949,712,534,400,300,225,169",10000,0.009391877800226212,0.18115781247615814,7343
100,9,0.75,5000000,4998430,1687,"1687,1265,949,712,534,400,300,225,169",10000,0.00853666476905346,0.17525728046894073,6658
100,9,0.75,5000000,4998430,1687,"1687,1265,949,712,534,400,300,225,169",10000,0.005481423810124397,0.173988938331604,7498
100,10,0.75,5000000,5002298,1684,"1684,1263,947,710,533,400,300,225,169,126",10000,0.007735030725598335,0.18158450722694397,6180
100,10,0.75,5000000,5002298,1684,"1684,1263,947,710,533,400,300,225,169,126",10000,0.008865626528859138,0.19090953469276428,6632
100,10,0.75,5000000,5002298,1684,"1684,1263,947,710,533,400,300,225,169,126",10000,0.006736002862453461,0.16544562578201294,6529
200,2,0.75,15000000,14997955,4340,"4340,3255",10000,0.00961194559931755,0.19045405089855194,5471
200,2,0.75,15000000,14997955,4340,"4340,3255",10000,0.00951217208057642,0.1994565725326538,5190
200,2,0.75,15000000,14997955,4340,"4340,3255",10000,0.009349817410111427,0.20448002219200134,5573
200,3,0.75,15000000,15000525,3493,"3493,2620,1965",10000,0.009662952274084091,0.21998895704746246,4546
200,3,0.75,15000000,15000525,3493,"3493,2620,1965",10000,0.009299224242568016,0.20020902156829834,4914
200,3,0.75,15000000,15000525,3493,"3493,2620,1965",10000,0.008189339190721512,0.16858258843421936,4995
200,4,0.75,15000000,15000231,3192,"3192,2394,1796,1347",10000,0.008386312052607536,0.16442404687404633,6299
200,4,0.75,15000000,15000231,3192,"3192,2394,1796,1347",10000,0.008933321572840214,0.20963208377361298,6141
200,4,0.75,15000000,15000231,3192,"3192,2394,1796,1347",10000,0.009039107710123062,0.19018693268299103,6444
200,5,0.75,15000000,14996638,3054,"3054,2290,1718,1288,966",10000,0.009437245316803455,0.2171657532453537,6051
200,5,0.75,15000000,14996638,3054,"3054,2290,1718,1288,966",10000,0.008919043466448784,0.19961042702198029,5542
200,5,0.75,15000000,14996638,3054,"3054,2290,1718,1288,966",10000,0.00990377925336361,0.19450879096984863,7018
200,6,0.75,15000000,15000514,2984,"2984,2238,1678,1259,944,708",10000,0.009359905496239662,0.1939568817615509,6746
200,6,0.75,15000000,15000514,2984,"2984,2238,1678,1259,944,708",10000,0.00964309275150299,0.18798944354057312,6891
200,6,0.75,15000000,15000514,2984,"2984,2238,1678,1259,944,708",10000,0.00861284974962473,0.19062690436840057,7076
200,7,0.75,15000000,14998225,2946,"2946,2210,1657,1243,932,699,524",10000,0.009357785806059837,0.19473175704479218,7045
200,7,0.75,15000000,14998225,2946,"2946,2210,1657,1243,932,699,524",10000,0.007723624352365732,0.21900328993797302,7923
200,7,0.75,15000000,14998225,2946,"2946,2210,1657,1243,932,699,524",10000,0.009106481447815895,0.1950448453426361,7088
200,8,0.75,15000000,14998336,2926,"2926,2194,1646,1234,926,694,521,391",10000,0.009484078735113144,0.21082361042499542,8354
200,8,0.75,15000000,14998336,2926,"2926,2194,1646,1234,926,694,521,391",10000,0.005774223245680332,0.21616443991661072,8687
200,8,0.75,15000000,14998336,2926,"2926,2194,1646,1234,926,694,521,391",10000,0.009515546262264252,0.19481170177459717,8132
200,9,0.75,15000000,15001017,2915,"2915,2186,1639,1230,922,692,519,389,292",10000,0.005445624701678753,0.19268174469470978,8430
200,9,0.75,15000000,15001017,2915,"2915,2186,1639,1230,922,692,519,389,292",10000,0.008571491576731205,0.20336750149726868,7270
200,9,0.75,15000000,15001017,2915,"2915,2186,1639,1230,922,692,519,389,292",10000,0.009299170225858688,0.22152206301689148,7368
200,10,0.75,15000000,14998044,2908,"2908,2181,1636,1227,920,690,518,388,291,218",10000,0.00993332639336586,0.26361724734306335,6815
200,10,0.75,15000000,14998044,2908,"2908,2181,1636,1227,920,690,518,388,291,218",10000,0.009017804637551308,0.21965424716472626,6697
