Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
100,64,500,3,3,0.01,100,1.0,0.008914903946555195,0.06182551881076822,0.008914903946555195,0.06182551881076822,38,11
100,64,500,3,3,0.01,300,3.0,0.008977389393557666,0.04770820246488335,0.008977389393557666,0.04770820246488335,30,71
100,64,500,3,3,0.01,700,7.0,0.009709745702040685,0.05259167237680441,0.009709745702040685,0.05259167237680441,34,434
100,64,500,3,3,0.01,900,9.0,0.009601371658926022,0.05014204682476842,0.009601371658926022,0.05014204682476842,10,237
