Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs,Time
25,64,500,3,3,0.01,100,1.0,0.00946083851158619,0.04580611754686405,0.047304192557930946,0.22903058773432022,29,13
25,64,500,3,3,0.01,300,3.0,0.00954768732190132,0.03258163567918997,0.04773843660950661,0.16290817839594987,7,26
25,64,500,3,3,0.01,500,5.0,0.002000208059325814,0.003038016558350183,0.010001040296629071,0.015190082791750915,4,43
25,64,500,3,3,0.01,700,7.0,0.0002239387889858335,0.0010254221165385575,0.0011196939449291676,0.005127110582692787,2,47
25,64,500,3,3,0.01,1100,11.0,0.00041277792770415543,0.0009331739543435666,0.0020638896385207772,0.0046658697717178324,1,70
25,64,500,3,3,0.01,1300,13.0,1.4748272769793401e-05,5.442161210129807e-05,7.374136384896701e-05,0.00027210806050649035,1,98
