Input_dim,Hidden_dim_r,Hidden_dim_fc,Num_layers_recurrent,Num_layers_fc,Loss_tolerance,Data_demand,Dd_factor,Train_loss,Test_loss,Train_loss_distance,Test_loss_distance,Epochs
800,64,500,2,3,0.01,10000,1.0,0.0002294207806698978,0.0012068306095898151,0.006488999590271854,0.03413432464003563,4
800,64,500,2,3,0.01,10000,1.0,0.00019433526904322207,0.00035610105260275304,0.005496631462566979,0.010072058998048306,3
800,64,500,2,3,0.01,10000,1.0,7.795894634909928e-05,0.0005708405515179038,0.0022050119847042537,0.01614580862224102,3
800,64,500,2,3,0.01,10000,1.0,8.381849329452962e-05,0.0005093776271678507,0.0023707449998960424,0.014407374896109104,3
800,64,500,2,3,0.01,10000,1.0,0.0002107717446051538,0.0003910914820153266,0.005961525195712935,0.011061737313866615,3
